id_feu,unidad_regional,siniestro_fecha,siniestro_hora,provincia,id_provincia,departamento,id_departamento,localidad,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,entre_calle_2,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_multiple,tipo_siniestro_unico,despiste_previo,tipo_siniestro_otro,tipo_colision,cantidad_de_involucrados,trazado_via,configuracion_de_la_via,configuracion_de_la_via_otro_tipo,pendiente_declive,cono_de_vision,material_de_la_calzada,material_de_la_calzada_otro,estado_de_la_calzada,estado_fisico_ambiental,estado_de_conservacion_otro,division_fisica_de_la_via,division_fisica_de_la_via_otro,barreras_de_seguridad,banquinas,senalizacion_carteleria,senalizacion_horizontal,senalizacion_transitoria,luminosidad,luz_artificial,transito_restringido,estado_ambiental,visibilidad,visibilidad_otro,semaforo
233386,OBSERVATORIO VIAL,2024-06-20,16:45:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV INDEPENDENCIA,3000,AV CHACABUCO,,-2.747.866,-5.881.473,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Angulo,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Otro,,Asfalto,,S/D,S/D,S/D,Día,,,Despejado,,,Funciona
217475,OBSERVATORIO VIAL,2024-06-20,13:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV RIO CHICO,5600,LOS TULIPANES,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,No,No,Día,,,Despejado,,,Sin Semáforo
228606,OBSERVATORIO VIAL,2024-06-17,13:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV INDEPENDENCIA,3400,AV CHACABUCO,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Mojada,,Cantero central,,Ninguna,,Si,Si,No,Día,,,Otro,,,Funciona
224975,OBSERVATORIO VIAL,2024-06-17,15:10:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV 3 DE ABRIL,1400,CATAMARCA,,,,3,0,0,3,0,Colisión entre vehículos,Colisión entre vehículos,,,Multiple,3,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Funciona
216589,OBSERVATORIO VIAL,2024-06-15,10:56:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,PLACIDO MARTINEZ,1056,,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Rozamiento,2,,Intersección / cruce,,,S/D,,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Día,,,,,,Sin Semáforo
217515,OBSERVATORIO VIAL,2024-06-13,22:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,CATAMARCA,1000,BELGRANO,SAN MARTIN,,,3,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Noche,NO,,Despejado,,,Sin Semáforo
224098,OBSERVATORIO VIAL,2024-06-11,8:35:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV 3 DE ABRIL,100,,,,,0,1,0,1,0,Choque,Choque,,,,1,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,S/D,S/D,S/D,Día,,,Despejado,,,Sin Semáforo
218238,OBSERVATORIO VIAL,2024-06-10,16:51:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV SARMIENTO,2200,A.C. FERNANDEZ,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Día,,,Despejado,,,
228607,OBSERVATORIO VIAL,2024-06-09,13:05:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,RAMON CARRILLO (EX VIA),1500,GUTENBERG,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,,,Apto,Mojada,,Ninguna,,Ninguna,,Si,Si,No,Día,,,S/D,,,Sin Semáforo
233378,OBSERVATORIO VIAL,2024-06-09,18:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV MAIPU,4500,GUAYQUIRARO,,-2.751.372,-5.880.745,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,,,,,Asfalto,,S/D,S/D,,Día,,,,,,Funciona
217514,OBSERVATORIO VIAL,2024-06-08,13:50:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,BOLIVAR,1100,SAN LUIS,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,S/D,S/D,Día,,,Despejado,,,Sin Semáforo
224092,OBSERVATORIO VIAL,2024-06-08,12:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,CUBA,5100,PABLO GROUSSAC,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,S/D,S/D,S/D,Día,,,Despejado,,,Sin Semáforo
220449,OBSERVATORIO VIAL,2024-06-08,13:45:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV PUJOL,2100,ROTONDA PONCHO VERDE,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Rozamiento,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Sin Semáforo
222693,OBSERVATORIO VIAL,2024-06-08,22:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV ARMENIA,4600,QUINQUELA MARTIN,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,Si,No,Noche,NO,,Despejado,,,Sin Semáforo
223341,OBSERVATORIO VIAL,2024-06-07,18:27:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,MEDRANO,2200,ZAPIOLA,CORCEGA,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Rozamiento,2,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,Si,No,Día,,,,,,Sin Semáforo
215403,OBSERVATORIO VIAL,2024-06-07,8:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV PEDRO FERRÉ,2900,AV CHACABUCO,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Otro,C/ESQUINA,,,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Funciona
230896,OBSERVATORIO VIAL,2024-06-02,13:20:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV INDEPENDENCIA,3400,JUAN JOSE CASTELLI,,-2.747.923,-5.880.987,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,,Asfalto,,Apto,Seca,,,,,,Si,Si,Si,Día,,,Despejado,,,Sin Semáforo
233611,OBSERVATORIO VIAL,2024-06-02,12:41:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV ARMENIA,3100,AMADO BOMPLAND,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Frontal,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Otro,,Ninguna,,S/D,S/D,S/D,Día,,,Despejado,,,S/D
217517,OBSERVATORIO VIAL,2024-06-01,20:08:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV INDEPENDENCIA,5000,GODOY CRUZ,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,Si,No,Noche,NO,,Despejado,,,Funciona
229676,OBSERVATORIO VIAL,2024-06-01,13:35:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,RAMON CARRILLO,1500,GOB VELAZCO,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Frontal,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Sin Semáforo
216587,OBSERVATORIO VIAL,2024-06-01,13:40:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV ARMENIA,800,,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Otro,,Ninguna,,Si,Si,No,Día,,,Despejado,,,S/D
229675,OBSERVATORIO VIAL,2024-05-30,17:35:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,RECONQUISTA,3100,ALTE BROWN,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,S/D,S/D,S/D,Día,,,Despejado,,,Sin Semáforo
223342,OBSERVATORIO VIAL,2024-05-30,12:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV 3 DE ABRIL,435,,,,,1,0,0,1,0,Choque,Choque,,,,1,,Fuera de calzada,,,,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,Si,S/D,Día,,,Despejado,,,Funciona
220451,OBSERVATORIO VIAL,2024-05-30,10:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,URUGUAY,900,JUNIN,,,,2,0,0,2,0,Choque,Choque,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Sin Semáforo
